# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 24.19 s
# Particulas activas: 2/4
# Total colisiones: 25
#
# OBSTACULOS
obstaculo,0,200,150,80,80
obstaculo,1,520,150,80,80
obstaculo,2,200,370,80,80
obstaculo,3,520,370,80,80
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0.69,3,619.752,424.1,119,-110,0.8,1
trayectoria,0.7,0,187.7,184,-105,120,1,1
trayectoria,0.7,1,628.544,198,126,140,1.5,1
trayectoria,0.7,2,182.323,409,-112,-130,1.2,1
trayectoria,0.7,3,620.942,423,119,-110,0.8,1
trayectoria,0.71,0,186.65,185.2,-105,120,1,1
trayectoria,0.71,1,629.804,199.4,126,140,1.5,1
trayectoria,0.71,2,181.203,407.7,-112,-130,1.2,1
trayectoria,0.71,3,622.132,421.9,119,-110,0.8,1
trayectoria,0.72,0,185.6,186.4,-105,120,1,1
trayectoria,0.72,1,631.064,200.8,126,140,1.5,1
trayectoria,0.72,2,180.083,406.4,-112,-130,1.2,1
trayectoria,0.72,3,623.322,420.8,119,-110,0.8,1
trayectoria,0.73,0,184.55,187.6,-105,120,1,1
trayectoria,0.73,1,632.324,202.2,126,140,1.5,1
trayectoria,0.73,2,178.963,405.1,-112,-130,1.2,1
trayectoria,0.73,3,624.512,419.7,119,-110,0.8,1
trayectoria,0.74,0,183.5,188.8,-105,120,1,1
trayectoria,0.74,1,633.584,203.6,126,140,1.5,1
trayectoria,0.74,2,177.843,403.8,-112,-130,1.2,1
trayectoria,0.74,3,625.702,418.6,119,-110,0.8,1
trayectoria,0.75,0,182.45,190,-105,120,1,1
trayectoria,0.75,1,634.844,205,126,140,1.5,1
trayectoria,0.75,2,176.723,402.5,-112,-130,1.2,1
trayectoria,0.75,3,626.892,417.5,119,-110,0.8,1
trayectoria,0.76,0,181.4,191.2,-105,120,1,1
trayectoria,0.76,1,636.104,206.4,126,140,1.5,1
trayectoria,0.76,2,175.603,401.2,-112,-130,1.2,1
trayectoria,0.76,3,628.082,416.4,119,-110,0.8,1
trayectoria,0.77,0,180.35,192.4,-105,120,1,1
trayectoria,0.77,1,637.364,207.8,126,140,1.5,1
trayectoria,0.77,2,174.483,399.9,-112,-130,1.2,1
trayectoria,0.77,3,629.272,415.3,119,-110,0.8,1
trayectoria,0.78,0,179.3,193.6,-105,120,1,1
trayectoria,0.78,1,638.624,209.2,126,140,1.5,1
trayectoria,0.78,2,173.363,398.6,-112,-130,1.2,1
trayectoria,0.78,3,630.462,414.2,119,-110,0.8,1
trayectoria,0.79,0,178.25,194.8,-105,120,1,1
trayectoria,0.79,1,639.884,210.6,126,140,1.5,1
trayectoria,0.79,2,172.243,397.3,-112,-130,1.2,1
trayectoria,0.79,3,631.652,413.1,119,-110,0.8,1
trayectoria,0.8,0,177.2,196,-105,120,1,1
trayectoria,0.8,1,641.144,212,126,140,1.5,1
trayectoria,0.8,2,171.123,396,-112,-130,1.2,1
trayectoria,0.8,3,632.842,412,119,-110,0.8,1
trayectoria,0.81,0,176.15,197.2,-105,120,1,1
trayectoria,0.81,1,642.404,213.4,126,140,1.5,1
trayectoria,0.81,2,170.003,394.7,-112,-130,1.2,1
trayectoria,0.81,3,634.032,410.9,119,-110,0.8,1
trayectoria,0.82,0,175.1,198.4,-105,120,1,1
trayectoria,0.82,1,643.664,214.8,126,140,1.5,1
trayectoria,0.82,2,168.883,393.4,-112,-130,1.2,1
trayectoria,0.82,3,635.222,409.8,119,-110,0.8,1
trayectoria,0.83,0,174.05,199.6,-105,120,1,1
trayectoria,0.83,1,644.924,216.2,126,140,1.5,1
trayectoria,0.83,2,167.763,392.1,-112,-130,1.2,1
trayectoria,0.83,3,636.412,408.7,119,-110,0.8,1
trayectoria,0.84,0,173,200.8,-105,120,1,1
trayectoria,0.84,1,646.184,217.6,126,140,1.5,1
trayectoria,0.84,2,166.643,390.8,-112,-130,1.2,1
trayectoria,0.84,3,637.602,407.6,119,-110,0.8,1
trayectoria,0.85,0,171.95,202,-105,120,1,1
trayectoria,0.85,1,647.444,219,126,140,1.5,1
trayectoria,0.85,2,165.523,389.5,-112,-130,1.2,1
trayectoria,0.85,3,638.792,406.5,119,-110,0.8,1
trayectoria,0.86,0,170.9,203.2,-105,120,1,1
trayectoria,0.86,1,648.704,220.4,126,140,1.5,1
trayectoria,0.86,2,164.403,388.2,-112,-130,1.2,1
trayectoria,0.86,3,639.982,405.4,119,-110,0.8,1
trayectoria,0.87,0,169.85,204.4,-105,120,1,1
trayectoria,0.87,1,649.964,221.8,126,140,1.5,1
trayectoria,0.87,2,163.283,386.9,-112,-130,1.2,1
trayectoria,0.87,3,641.172,404.3,119,-110,0.8,1
trayectoria,0.88,0,168.8,205.6,-105,120,1,1
trayectoria,0.88,1,651.224,223.2,126,140,1.5,1
trayectoria,0.88,2,162.163,385.6,-112,-130,1.2,1
trayectoria,0.88,3,642.362,403.2,119,-110,0.8,1
trayectoria,0.89,0,167.75,206.8,-105,120,1,1
trayectoria,0.89,1,652.484,224.6,126,140,1.5,1
