# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 22.87 s
# Particulas activas: 3/4
# Total colisiones: 11
#
# OBSTACULOS
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0.99,0,299,300,100,0,1,1
trayectoria,0.99,1,501,300,-100,0,1,1
trayectoria,0.99,2,349.5,249,50,100,0.8,1
trayectoria,0.99,3,450.5,351,-50,-100,0.8,1
trayectoria,1,0,300,300,100,0,1,1
trayectoria,1,1,500,300,-100,0,1,1
trayectoria,1,2,350,250,50,100,0.8,1
trayectoria,1,3,450,350,-50,-100,0.8,1
trayectoria,1.01,0,301,300,100,0,1,1
trayectoria,1.01,1,499,300,-100,0,1,1
trayectoria,1.01,2,350.5,251,50,100,0.8,1
trayectoria,1.01,3,449.5,349,-50,-100,0.8,1
trayectoria,1.02,0,302,300,100,0,1,1
trayectoria,1.02,1,498,300,-100,0,1,1
trayectoria,1.02,2,351,252,50,100,0.8,1
trayectoria,1.02,3,449,348,-50,-100,0.8,1
trayectoria,1.03,0,303,300,100,0,1,1
trayectoria,1.03,1,497,300,-100,0,1,1
trayectoria,1.03,2,351.5,253,50,100,0.8,1
trayectoria,1.03,3,448.5,347,-50,-100,0.8,1
trayectoria,1.04,0,304,300,100,0,1,1
trayectoria,1.04,1,496,300,-100,0,1,1
trayectoria,1.04,2,352,254,50,100,0.8,1
trayectoria,1.04,3,448,346,-50,-100,0.8,1
trayectoria,1.05,0,305,300,100,0,1,1
trayectoria,1.05,1,495,300,-100,0,1,1
trayectoria,1.05,2,352.5,255,50,100,0.8,1
trayectoria,1.05,3,447.5,345,-50,-100,0.8,1
trayectoria,1.06,0,306,300,100,0,1,1
trayectoria,1.06,1,494,300,-100,0,1,1
trayectoria,1.06,2,353,256,50,100,0.8,1
trayectoria,1.06,3,447,344,-50,-100,0.8,1
trayectoria,1.07,0,307,300,100,0,1,1
trayectoria,1.07,1,493,300,-100,0,1,1
trayectoria,1.07,2,353.5,257,50,100,0.8,1
trayectoria,1.07,3,446.5,343,-50,-100,0.8,1
trayectoria,1.08,0,308,300,100,0,1,1
trayectoria,1.08,1,492,300,-100,0,1,1
trayectoria,1.08,2,354,258,50,100,0.8,1
trayectoria,1.08,3,446,342,-50,-100,0.8,1
trayectoria,1.09,0,309,300,100,0,1,1
trayectoria,1.09,1,491,300,-100,0,1,1
trayectoria,1.09,2,354.5,259,50,100,0.8,1
trayectoria,1.09,3,445.5,341,-50,-100,0.8,1
trayectoria,1.1,0,310,300,100,0,1,1
trayectoria,1.1,1,490,300,-100,0,1,1
trayectoria,1.1,2,355,260,50,100,0.8,1
trayectoria,1.1,3,445,340,-50,-100,0.8,1
trayectoria,1.11,0,311,300,100,0,1,1
trayectoria,1.11,1,489,300,-100,0,1,1
trayectoria,1.11,2,355.5,261,50,100,0.8,1
trayectoria,1.11,3,444.5,339,-50,-100,0.8,1
trayectoria,1.12,0,312,300,100,0,1,1
trayectoria,1.12,1,488,300,-100,0,1,1
trayectoria,1.12,2,356,262,50,100,0.8,1
trayectoria,1.12,3,444,338,-50,-100,0.8,1
trayectoria,1.13,0,313,300,100,0,1,1
trayectoria,1.13,1,487,300,-100,0,1,1
trayectoria,1.13,2,356.5,263,50,100,0.8,1
trayectoria,1.13,3,443.5,337,-50,-100,0.8,1
trayectoria,1.14,0,314,300,100,0,1,1
trayectoria,1.14,1,486,300,-100,0,1,1
trayectoria,1.14,2,357,264,50,100,0.8,1
trayectoria,1.14,3,443,336,-50,-100,0.8,1
trayectoria,1.15,0,315,300,100,0,1,1
trayectoria,1.15,1,485,300,-100,0,1,1
trayectoria,1.15,2,357.5,265,50,100,0.8,1
trayectoria,1.15,3,442.5,335,-50,-100,0.8,1
trayectoria,1.16,0,316,300,100,0,1,1
